Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type;Gen
11berlin52_T40_p1.sop;31.733333333333334;11;1562.7196886056322;1616;21.23315930366516;[36, 39, 40, 38, 37, 34, 50, 20, 18, 19, 45, 22];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];300
11berlin52_T80_p2.sop;1990.5644444444445;11;2926.442778959757;3232;21.252216339111328;[41, 19, 45, 36, 5, 15, 6, 38, 39, 37, 48, 44, 20, 50, 30, 42, 31, 18, 22];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];300
11berlin52_T60_p2.sop;1818.12;11;1951.307381580537;2424;21.512627840042114;[22, 45, 41, 19, 18, 31, 23, 20, 50, 46, 24, 48, 37, 40, 39, 34, 36, 35];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];300
14st70_T40_p1.sop;23.085714285714285;14;125.2770165983615;126;25.77799129486084;[53, 58, 37, 47, 38, 59, 69, 31, 13, 29];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];300
11berlin52_T40_p2.sop;1636.23;11;1578.4026686198451;1616;27.42479920387268;[22, 31, 23, 20, 50, 35, 34, 37, 38, 40, 39, 36, 19, 45];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];400
11berlin52_T80_p1.sop;40.8;11;2993.541459916113;3232;27.588008880615234;[31, 18, 41, 19, 45, 38, 24, 5, 6, 12, 28, 37, 39, 34, 35, 36, 49, 50, 20, 23];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];400
11berlin52_T60_p1.sop;36.8;11;2320.273298960175;2424;33.18213748931885;[50, 20, 23, 31, 18, 22, 32, 19, 41, 39, 40, 38, 24, 37, 35, 36, 49, 45];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];500
14st70_T40_p2.sop;1181.3912244897958;14;123.889484801455;126;33.22262239456177;[16, 47, 53, 66, 57, 59, 69, 31, 13, 29];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];400
11berlin52_T80_p2.sop;1990.5644444444445;11;2799.9185921441717;3232;15.277193069458008;[18, 31, 42, 23, 20, 50, 39, 40, 37, 38, 24, 5, 36, 34, 35, 19, 41, 45, 49];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];200
11berlin52_T60_p2.sop;1808.97;11;1985.1069581697188;2424;21.346843957901;[49, 22, 32, 35, 34, 37, 38, 40, 39, 41, 19, 45, 18, 31, 23, 20, 50];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic'];300
