Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type;Gen
11berlin52_T80_p2.sop;758.5635174730429;11;3069.1628934521837;3232;16.50551724433899;[32, 45, 19, 10, 9, 8, 41, 7, 2, 42, 21, 17, 3, 18, 31, 22];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];200
11berlin52_T40_p2.sop;382.0;11;1612.3798653929996;1616;16.58944272994995;[45, 43, 10, 9, 8, 41, 19];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];200
11berlin52_T40_p1.sop;9.567308537663079;11;1560.9360577940877;1616;22.341794729232788;[23, 20, 50, 29, 30, 21, 31, 18, 22, 32, 49];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];300
14st70_T40_p1.sop;13.333333333333334;14;117.02406056926532;126;27.535674810409546;[16, 52, 10, 50, 58, 37, 47, 23, 13, 29, 36];['quadratic', 'linear', 'exponential', 'logarithmic', 'logarithmic', 'quadratic', 'linear', 'linear', 'quadratic', 'linear', 'linear', 'quadratic', 'quadratic', 'logarithmic'];300
11berlin52_T60_p1.sop;14.177709972419752;11;2161.5090849241433;2424;29.025259733200073;[32, 45, 19, 8, 41, 3, 18, 31, 21, 30, 29, 50, 20, 23, 22];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];400
11berlin52_T80_p1.sop;15.7654722708824;11;3167.006395379889;3232;29.41290855407715;[18, 17, 3, 41, 8, 45, 19, 22, 31, 21, 30, 23, 20, 50, 16, 48, 37, 24, 38, 34, 49];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];400
11berlin52_T60_p2.sop;578.6978940514734;11;2413.8402912458564;2424;30.91090750694275;[22, 18, 31, 20, 23, 21, 17, 3, 41, 8, 9, 10, 19, 45];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];400
11berlin52_T40_p2.sop;453.1776166479939;11;1473.422694434736;1616;17.97512149810791;[22, 31, 18, 17, 3, 41, 8, 19, 45, 32];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];200
14st70_T40_p2.sop;769.7640890933949;14;123.6539152588409;126;36.58636975288391;[23, 38, 59, 15, 57, 63, 22, 69, 31, 70, 13, 29, 36];['quadratic', 'linear', 'exponential', 'logarithmic', 'logarithmic', 'quadratic', 'linear', 'linear', 'quadratic', 'linear', 'linear', 'quadratic', 'quadratic', 'logarithmic'];400
11berlin52_T80_p1.sop;16.56730853766308;11;3186.3888079987864;3232;16.239179134368896;[49, 32, 45, 19, 41, 8, 9, 10, 43, 39, 20, 23, 21, 30, 29, 50, 31, 18];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic'];200
