Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type
11berlin52_T40_p1.sop;30.0;11;1601.450859743075;1616;22.81523299217224;[21, 48, 18, 42, 34, 32, 35, 36, 13, 37, 47, 30, 20, 16, 29];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p2.sop;1539.941111111111;11;1612.3993257032137;1616;22.93598961830139;[21, 33, 32, 34, 37, 3, 22, 46, 36, 38, 17, 43, 16, 20];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T80_p1.sop;40.8;11;3224.802972433173;3232;23.148258209228516;[43, 17, 39, 1, 20, 47, 33, 36, 38, 46, 22, 35, 3, 4, 10, 26, 48, 18, 21, 16];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T60_p1.sop;36.8;11;2393.7933398669475;2424;23.814345359802246;[47, 29, 16, 20, 18, 48, 21, 42, 35, 38, 6, 17, 43, 30, 37, 32, 33, 34];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T60_p2.sop;1818.12;11;2382.7856589894764;2424;24.27355980873108;[37, 4, 3, 13, 36, 46, 35, 16, 29, 21, 18, 48, 33, 47, 30, 39, 17, 43];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T80_p2.sop;2145.8977777777777;11;3224.6473033318894;3232;24.33369255065918;[20, 29, 43, 39, 17, 16, 18, 48, 14, 26, 10, 49, 4, 22, 3, 13, 36, 38, 37, 47];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
14st70_T40_p2.sop;1017.141224489796;14;125.62609773279624;126;25.1548969745636;[21, 14, 56, 51, 20, 64, 67, 29, 27];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
14st70_T40_p1.sop;25.419047619047618;14;125.60332344201483;126;26.46012234687805;[34, 11, 29, 36, 20, 51, 50, 8, 56, 14];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p2.sop;1721.93;11;1589.2061477483517;1616;23.017656326293945;[48, 18, 21, 29, 16, 17, 43, 38, 36, 22, 46, 35, 32, 33, 34, 47];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p1.sop;33.733333333333334;11;1609.8341224136911;1616;23.239989757537842;[30, 17, 43, 16, 29, 18, 48, 42, 37, 38, 35, 34, 33, 47];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T80_p1.sop;39.8;11;3185.0508038545163;3232;24.098727703094482;[6, 39, 43, 47, 34, 37, 33, 42, 48, 18, 21, 29, 16, 20, 32, 10, 2, 22, 36];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T60_p1.sop;36.8;11;2422.603098536754;2424;23.650466680526733;[17, 39, 43, 21, 18, 48, 16, 29, 20, 47, 37, 4, 3, 13, 38, 36, 35, 34];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T80_p2.sop;1990.5644444444445;11;3210.2633361226385;3232;24.30914855003357;[17, 6, 43, 16, 19, 40, 48, 18, 29, 20, 47, 32, 33, 37, 13, 2, 3, 35, 42];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T60_p2.sop;1818.12;11;2417.962079180057;2424;24.0211660861969;[16, 39, 1, 17, 43, 47, 30, 36, 22, 46, 4, 3, 35, 37, 34, 48, 18, 21];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
14st70_T40_p2.sop;1280.735328798186;14;125.05300058252946;126;25.53584623336792;[35, 56, 8, 50, 51, 20, 57, 67, 29, 11, 27];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
14st70_T40_p1.sop;25.419047619047618;14;125.62110397984732;126;26.489219188690186;[14, 56, 35, 50, 51, 20, 36, 67, 29, 11];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p1.sop;33.4;11;1613.6253620773073;1616;22.22612166404724;[32, 37, 35, 36, 38, 34, 33, 48, 18, 21, 16, 17, 43, 30];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p2.sop;1598.191111111111;11;1615.3142024799924;1616;22.899704933166504;[21, 29, 16, 43, 17, 30, 34, 33, 32, 36, 22, 46, 38, 35, 37];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
