Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type
11berlin52_T40_p2.sop;384.7810779651472;11;1598.012021295739;1616;21.30421280860901;[20, 30, 43, 17, 39, 6, 7, 8, 41, 33];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T40_p1.sop;8.212986152829837;11;1612.9658471462878;1616;22.021663665771484;[18, 28, 0, 5, 40, 19, 29, 20, 47];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T60_p1.sop;13.73437291976095;11;2423.078620535318;2424;25.474844932556152;[18, 48, 21, 29, 16, 1, 43, 8, 7, 6, 39, 17, 38, 35, 33, 32, 37, 34];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
14st70_T40_p1.sop;14.666666666666668;14;122.8799319730187;126;24.76165223121643;[14, 35, 10, 58, 50, 8, 48, 56, 45];['quadratic', 'linear', 'exponential', 'logarithmic', 'logarithmic', 'quadratic', 'linear', 'linear', 'quadratic', 'linear', 'linear', 'quadratic', 'quadratic', 'logarithmic']
14st70_T40_p2.sop;810.8690476190475;14;125.90644525026929;126;25.003275394439697;[21, 3, 8, 50, 10, 58, 48, 56, 35, 45];['quadratic', 'linear', 'exponential', 'logarithmic', 'logarithmic', 'quadratic', 'linear', 'linear', 'quadratic', 'linear', 'linear', 'quadratic', 'quadratic', 'logarithmic']
11berlin52_T60_p2.sop;360.92504819869214;11;2423.997477938841;2424;28.15752387046814;[47, 30, 43, 34, 44, 24, 11, 25, 26, 32, 33];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T80_p2.sop;658.9606663982166;11;3229.1887718626167;3232;29.94084668159485;[47, 33, 34, 32, 35, 36, 13, 3, 22, 23, 26, 24, 11, 25, 10, 41, 17, 39, 6, 43, 30];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T80_p1.sop;15.229251062519474;11;3228.1001412862934;3232;30.65225648880005;[20, 16, 29, 1, 17, 43, 38, 3, 23, 24, 11, 25, 26, 14, 18, 48, 21];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T40_p2.sop;383.40627758568286;11;1608.9487257725261;1616;21.224288940429688;[43, 17, 39, 6, 8, 7, 41, 30];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T40_p1.sop;9.431011842819352;11;1608.2213313443344;1616;22.34633779525757;[47, 30, 39, 6, 17, 43, 20, 18, 48, 21, 29];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
