Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type
11berlin52_T40_p1.sop;18.510257052780723;11;1593.8956493658661;1616;66.41283011436462;[(3, [17, 18, 3, 1, 6, 2, 0, 8, 19, 9, 10, 11, 12, 13, 15, 14])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
11berlin52_T40_p2.sop;943.6319689956243;11;1609.2361852323224;1616;72.21375489234924;[(6, [2, 3]), (3, [5, 16, 18, 6, 7, 2, 1, 15, 12, 13, 11, 14, 10, 9, 19])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
11berlin52_T60_p1.sop;25.430938262870853;11;2407.0204526819966;2424;75.09030437469482;[(3, [16, 9, 11, 10, 3, 1, 2, 18, 6, 12, 13, 15, 14, 17]), (8, [5, 4, 0, 2]), (6, [3, 0, 2])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
11berlin52_T80_p2.sop;1270.397144264824;11;3217.679633243739;3232;77.95928740501404;[(6, [3, 0, 1, 2]), (8, [2, 0, 4, 1]), (3, [5, 6, 18, 17, 2, 1, 3, 15, 9, 14, 10, 13, 12, 11])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
11berlin52_T60_p2.sop;1222.0452755988388;11;2314.3992649244105;2424;78.40636467933655;[(6, [0, 2, 3]), (8, [1, 2, 5, 0]), (3, [4, 9, 1, 18, 15, 13, 3, 6, 2, 12, 14, 11, 19, 8])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
11berlin52_T80_p1.sop;27.152490739595223;11;3216.6984568160906;3232;78.88410878181458;[(8, [2, 0, 5, 1]), (6, [1, 0, 3, 2]), (3, [10, 16, 13, 15, 12, 3, 1, 14, 6, 0, 2, 9, 19, 11, 8, 5])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
14st70_T40_p2.sop;452.64389313567995;14;118.40820852520574;126;83.25049328804016;[(6, [2, 4, 3, 6, 5]), (11, [1, 4, 2])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
14st70_T40_p1.sop;13.29366620024624;14;120.01905231074126;126;86.22961044311523;[(6, [2, 3, 6, 4]), (13, [0, 3, 2, 1]), (10, [2, 0, 3, 1])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
11berlin52_T40_p1.sop;19.759569354674362;11;1581.3834213054247;1616;70.03644466400146;[(6, [3, 2, 0]), (3, [19, 11, 10, 15, 13, 14, 9, 12, 6, 18, 1, 16])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
11berlin52_T40_p2.sop;966.7550444851812;11;1612.0027411498781;1616;72.13646411895752;[(3, [11, 13, 6, 18, 15, 3, 2, 1, 14, 10, 12, 9, 19]), (8, [2, 5, 0])];['logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic', 'logarithmic']
