Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type
11berlin52_T60_p1.sop;36.8;11;2399.7314047203895;2424;60.25887656211853;[(3, [19, 10, 14, 11, 1, 18, 13, 15, 6, 12]), (8, [0, 5, 2]), (9, [1]), (2, [3, 4]), (6, [3, 2])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T80_p1.sop;41.6;11;3218.63283788618;3232;61.40891456604004;[(2, [3, 0]), (9, [0]), (7, [1]), (10, [0]), (3, [2, 18, 12, 13, 6, 14, 9, 10, 5]), (8, [2, 0, 5]), (6, [3, 2])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p1.sop;33.733333333333334;11;1612.9827701634601;1616;61.2154061794281;[(9, [1]), (2, [3]), (6, [2, 3]), (8, [2, 0]), (3, [16, 18, 6, 13, 15, 14, 10, 9])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p2.sop;1520.4;11;1602.4570565659449;1616;62.34016466140747;[(9, [1]), (6, [2, 3]), (8, [2, 0, 5]), (3, [18, 6, 1, 15, 12, 9, 11, 19])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T60_p2.sop;1818.12;11;2399.6256907750803;2424;63.371827602386475;[(8, [2, 0, 5]), (3, [10, 9, 18, 6, 19, 14, 3, 1, 13, 15]), (2, [0, 3]), (9, [1]), (6, [2, 3])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T80_p2.sop;1990.5644444444445;11;3204.558260287146;3232;64.8975133895874;[(6, [3, 2]), (2, [4, 3]), (9, [1]), (1, [2]), (8, [2, 0, 5]), (3, [17, 7, 12, 1, 18, 6, 11, 9, 14, 10])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
14st70_T40_p2.sop;1088.7919954648526;14;124.15229630047777;126;74.31279015541077;[(10, [1]), (13, [1]), (4, [6]), (11, [2, 4]), (6, [5, 6, 3])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
14st70_T40_p1.sop;23.085714285714285;14;115.89119737435468;126;75.75809502601624;[(6, [2, 3, 6]), (4, [6]), (13, [0, 2]), (1, [0, 3]), (10, [2, 1])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T60_p1.sop;36.8;11;2350.181117289932;2424;62.48769164085388;[(3, [5, 16, 3, 15, 13, 6, 11, 9, 14, 12]), (8, [5, 0, 2]), (6, [3, 2]), (2, [4, 3]), (9, [1])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
11berlin52_T40_p1.sop;31.2;11;1608.6420696106532;1616;61.70005750656128;[(3, [19, 9, 18, 6, 13, 11, 10, 8]), (9, [1]), (6, [2, 3]), (8, [2, 5, 0])];['quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic', 'quadratic']
