Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type
11berlin52_T40_p2.sop;343.6706151081566;11;1558.1468244863538;1616;60.54237508773804;[(9, [1]), (2, [3, 0, 1, 2, 4]), (6, [0, 3]), (3, [5])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T40_p1.sop;10.985605433061178;11;1606.3638952154172;1616;61.908554553985596;[(3, [5, 19, 8, 11, 15, 10, 9, 14, 6, 13, 1, 12, 3, 0, 18, 2])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T60_p2.sop;412.24896692450835;11;2380.791708373796;2424;62.45280480384827;[(2, [0, 1, 2, 4, 3]), (9, [1, 0]), (3, [3, 15, 9, 11, 13, 1, 6, 18, 12, 10])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T60_p1.sop;19.999999999999996;11;2241.8623551125697;2424;64.12778210639954;[(3, [5, 8, 19, 10, 18, 13, 6, 1, 15, 17, 4, 12, 3, 2, 7, 0, 9, 16, 14, 11])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T80_p2.sop;1028.3069601383263;11;3215.674071432245;3232;64.47972369194031;[(6, [2]), (2, [3]), (9, [1]), (3, [4, 10, 13, 0, 7, 1, 18, 14, 9, 16, 17, 12, 6, 3, 15, 2, 11, 5, 8, 19])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T80_p1.sop;23.348006154597275;11;3136.8429857896917;3232;66.16430020332336;[(3, [19, 12, 5, 4, 15, 13, 14, 11, 10, 0, 2, 7, 17, 6, 3, 1, 18, 9, 16, 8]), (6, [2, 3]), (8, [2])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
14st70_T40_p1.sop;12.666666666666668;14;123.0082909578061;126;71.31353306770325;[(10, [1]), (11, [2, 4]), (5, [0]), (6, [1, 6, 2])];['quadratic', 'linear', 'exponential', 'logarithmic', 'logarithmic', 'quadratic', 'linear', 'linear', 'quadratic', 'linear', 'linear', 'quadratic', 'quadratic', 'logarithmic']
14st70_T40_p2.sop;749.6190476190475;14;124.58669928896083;126;72.17675924301147;[(6, [2, 4, 3, 6, 5, 1]), (5, [0]), (11, [4, 2])];['quadratic', 'linear', 'exponential', 'logarithmic', 'logarithmic', 'quadratic', 'linear', 'linear', 'quadratic', 'linear', 'linear', 'quadratic', 'quadratic', 'logarithmic']
11berlin52_T40_p2.sop;452.60627758568273;11;1560.3441917712528;1616;64.66320872306824;[(3, [5]), (6, [3, 2, 0, 1]), (2, [0, 4, 3]), (9, [1])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
11berlin52_T40_p1.sop;12.760729313591828;11;1586.7630334814644;1616;71.01017951965332;[(3, [19, 8, 11, 10, 15, 12, 1, 13, 2, 18, 7, 0, 3, 6, 9, 14, 16])];['quadratic', 'exponential', 'linear', 'exponential', 'linear', 'logarithmic', 'exponential', 'logarithmic', 'exponential', 'linear', 'logarithmic']
